model,accuracy,precision,recall,f1,pr_auc,roc_auc,tp,fp,fn
XGBoost,0.9996240513169953,0.9508196721311475,0.8169014084507042,0.8787878787878788,0.8774137005155334,0.9824736760802056,116,6,26
AdaBoost,0.9994948189572124,0.9230769230769231,0.7605633802816901,0.833976833976834,0.8288822760325191,0.9723873567615445,108,9,34
Random Forest,0.9995065673535563,0.9716981132075472,0.7253521126760564,0.8306451612903226,0.8658630898273826,0.9691939944600764,103,3,39
Decision Tree,0.9994360769754929,0.8671875,0.7816901408450704,0.8222222222222222,0.8075270785220847,0.9660729392358671,111,17,31
Neural Network (MLP),0.9994478253718367,0.9203539823008849,0.7323943661971831,0.8156862745098039,0.8498369942049212,0.9772586161859124,104,9,38
Voting (Fixed Rule Fusion),0.9994125801828051,0.8833333333333333,0.7464788732394366,0.8091603053435115,,,106,14,36
K-Nearest Neighbour,0.9993655865974295,0.84375,0.7605633802816901,0.8,0.7896662921191145,0.9326412130285004,108,20,34
Support Vector Machine,0.9993185930120538,0.8333333333333334,0.7394366197183099,0.7835820895522388,0.784138457292723,0.9695955577183683,105,21,37
Stacking (Trained Rule Fusion),0.9993303414083977,0.9473684210526315,0.6338028169014085,0.759493670886076,0.8374681658825122,0.9840213375905972,90,5,52
Perceptron,0.999060128292488,0.6761363636363636,0.8380281690140845,0.7484276729559748,,,119,57,23
Naive Bayes,0.9894616884795225,0.11282051282051282,0.7746478873239436,0.19695613249776187,0.18275831092309988,0.9708370433010415,110,865,32
K-Means (unsupervised),0.9904133085833784,0.10446009389671361,0.6267605633802817,0.1790744466800805,0.15716549900805474,0.9546461834459968,89,763,53
