Unit,Topic,Notebook
I,Types of learning; supervised vs unsupervised,"01, 09"
I,"Training, testing and validation of models",01
I,Cross validation,"03, 04, 10"
I,Overfitting and underfitting,"01, 03"
I,Evaluation of the model,10
II,"Decision tree representation, ID3, entropy",03
II,"Hypothesis space search, inductive bias",03
II,Issues in decision tree learning,03
II,"Instance based learning, k-nearest neighbour",04
II,Curse of dimensionality,"02, 04"
II,Univariate feature selection,02
II,Multivariate feature selection,02
II,Feature selection techniques,02
II,Feature reduction: PCA,02
II,Feature reduction: LDA,02
III,"Probability and classification, Bayesian learning",05
III,Naive Bayes,05
III,Bayes optimal decisions,05
III,"SVM: introduction, dual formulation",06
III,"Maximum margin with noise, kernels",06
IV,"ANN representation, biological motivation",07
IV,McCulloch-Pitts neuron,07
IV,"Perceptron, perceptron learning",07
IV,Logic gates using perceptron,07
IV,Problem with perceptron (XOR),07
IV,Gradient descent,07
IV,"Multilayer networks, backpropagation",07
IV,"Computational learning theory, VC dimension",07
V,Ensembles: bagging,08
V,Random Forest,08
V,Ensembles: boosting,08
V,Fixed rule fusion techniques,08
V,Trained rule fusion techniques,08
V,Clustering: K-means,09
V,Hierarchical clustering,09
